id,state,lga,facility_name,corrected_facility_name,validated_state
35,Yobe,NGURU,Bubari Health Clinic,Bara Health Clinic,Yobe
36,Yobe,NGURU,Bulabulin Central Dispensary,,
37,Yobe,NGURU,Dagirari Clinic,,
38,Yobe,NGURU,Dumsai Dispensary,Mairi Dispensary,Yobe
39,Yobe,NGURU,Garbi Health Clinic,Garbi Health Clinic,Yobe
40,Yobe,NGURU,Maja-Kura Clinic,,
41,Yobe,NGURU,Ngilewa Health Clinic,,
42,Yobe,NGURU,Nguru Federal Medical Centre,Nguru Federal Medical Centre,Yobe
43,Yobe,NGURU,Nguru Federal Model Primary Health Centre,,
44,Yobe,NGURU,Nguru Maternal and Child Health Clinic,,
45,Yobe,NGURU,Salisu Memorial Clinic,Salisu Memorial Clinic,Yobe
46,Yobe,POTISKUM,Badejo Clinic,Bade Clinic,Yobe
47,Yobe,POTISKUM,Beta Clinic,,
48,Yobe,POTISKUM,Bilam Fusam Clinic,,
49,Yobe,POTISKUM,Bubaram Health Clinic,Bara Health Clinic,Yobe
50,Yobe,POTISKUM,Bula Clinic,,
51,Yobe,POTISKUM,Bulabulin Clinic,,
52,Yobe,POTISKUM,Catholic Maternity and Child Health Clinic,Catholic Maternity And Child Health Clinic,Yobe
53,Yobe,POTISKUM,Dakasku Clinic,,
54,Yobe,POTISKUM,Danchuwa Clinic,,
55,Yobe,POTISKUM,Dogon-Zare Clinic,,
56,Yobe,POTISKUM,Eva Clinic,,
57,Yobe,POTISKUM,Garin Abba Clinic,,
58,Yobe,POTISKUM,Garin Dala Clinic,,
59,Yobe,POTISKUM,Garin Kachalla Health Clinic,Garin Kadai Health Clinic,Yobe
60,Yobe,POTISKUM,Garin Makwai Maternal and Child Health Clinic,,
61,Yobe,POTISKUM,Garin Mele Clinic,,
62,Yobe,POTISKUM,Potiskum General Hospital,Potiskum General Hospital,Yobe
63,Yobe,BADE,Azam Kura Dispensary,,
64,Yobe,BADE,Azbak Health Clinic,Bara Health Clinic,Yobe
65,Yobe,BADE,Babuje Dispensary,,
66,Yobe,BADE,Bade Clinic,Bade Clinic,Yobe
67,Yobe,BADE,Bizi Health Centre,,
68,Yobe,BADE,Central Dispensary,,
69,Yobe,BADE,Dagona Health Clinic,Dagirari Health Clinic,Yobe
70,Yobe,BADE,Dalah Health Centre,Dalah Health Centre,Yobe
71,Yobe,BADE,Dawayo Dispensary,Dilawa Dispensary,Yobe
72,Yobe,BADE,Gabarwa Dispensary,Gabur Dispensary,Yobe
73,Yobe,BADE,Gashu'a Maternity and Child Health Clinic,Gasamu Maternity and Child Health Clinic,Yobe
74,Yobe,BADE,Gashua Sabon Gari General Hospital,Gashua Sabon Gari General Hospital,Yobe
75,Yobe,BADE,Gwio Kura Dispensary,,
76,Yobe,BADE,Jigawa Health Centre,,
77,Yobe,BADE,Nasara Clinic,,
78,Yobe,BADE,Ngelbowa Health Centre,Ngelbowa Health Centre,Yobe
79,Yobe,BADE,Ngeljabe Dispensary,,
80,Yobe,BADE,Sabon Gari Child Welfare Clinic,,
81,Yobe,BADE,Sugum Comprehensive Health Centre,Yusufari Comprehensive Health Centre,Yobe
82,Yobe,BADE,Sugum Dispensary,Sugum Dispensary,Yobe
83,Yobe,BADE,Tagali Dispensary,,
84,Yobe,BADE,Tagama Dispensary,Haram Dispensary,Yobe
85,Yobe,BADE,Zango Dispensary,,
86,Yobe,BURSARI,Dumburi Dispensary,,
87,Yobe,BURSARI,Gadine Dispensary,,
88,Yobe,BURSARI,Gangawa Dispensary,Nayinawa Dispensary,Yobe
89,Yobe,BURSARI,Garin Alkali Dispensary,Garin Alkali Dispensary,Yobe
90,Yobe,BURSARI,Garin Kabaju Dispensary,,
91,Yobe,BURSARI,Garun Dole Dispensary,,
92,Yobe,BURSARI,Gilbasu Dispensary,Guba Dispensary,Yobe
93,Yobe,BURSARI,Girim Dispensary,Mairi Dispensary,Yobe
94,Yobe,BURSARI,Guba Dispensary,Guba Dispensary,Yobe
95,Yobe,BURSARI,Ilela Dispensary,,
96,Yobe,BURSARI,Jaba Dispensary,Guba Dispensary,Yobe
97,Yobe,BURSARI,Juluri Dispensary,,
98,Yobe,BURSARI,Kakanderi Dispensary,,
99,Yobe,BURSARI,Kaliyari Dispensary,Mairi Dispensary,Yobe
100,Yobe,BURSARI,Kankare Dispensary,Kaska Dispensary,Yobe
101,Yobe,BURSARI,Koromari Dispensary,Mairi Dispensary,Yobe
102,Yobe,BURSARI,Kujikujiri Dispensary,,
103,Yobe,BURSARI,Kurnawa Mother and Child Health Centre,,
104,Yobe,BURSARI,Lawanti Dispensary,Ladandi Dispensary,Yobe
105,Yobe,BURSARI,Marari Dispensary,Mairi Dispensary,Yobe
106,Yobe,BURSARI,Masaba Health Clinic,Yankaba Health Clinic,Yobe
107,Yobe,BURSARI,Metalari Dispensary,Mattafari Dispensary,Yobe
108,Yobe,BURSARI,Renukunu Dispensary,,
109,Yobe,BURSARI,Sunowa Dispensary,,
110,Yobe,BURSARI,Tarbutu Dispensary,,
111,Yobe,BURSARI,Turbangida Dispensary,,
112,Yobe,BURSARI,Warodi Dispensary,Mairi Dispensary,Yobe
113,Zamfara,ANKA,GH ANKA,,
114,Zamfara,ANKA,WARAMU,,
115,Zamfara,ANKA,WUYA,,
116,Zamfara,ANKA,BAGEGA,,
117,Zamfara,ANKA,DARETA,,
118,Zamfara,ANKA,GIMA,,
119,Zamfara,ANKA,KADADDABA,,
120,Zamfara,ANKA,K/MAJE,,
121,Zamfara,ANKA,ABARE,,
122,Zamfara,ANKA,B/ZAKI,,
123,Zamfara,ANKA,SABON BIRNI,,
124,Zamfara,ANKA,DUHUWA,,
125,Zamfara,ANKA,GALADUNCHI,,
126,Zamfara,ANKA,R/GERO,,
127,Zamfara,ANKA,GIRKAU,,
128,Zamfara,ANKA,INWALA,,
129,Zamfara,ANKA,GARGAM,,
130,Zamfara,ANKA,WCWC,,
131,Zamfara,ANKA,Y/SABAYA,,
132,Zamfara,ANKA,Y/MATANKARI,,
133,Zamfara,ANKA,MANYA,,
134,Zamfara,ANKA,YARKURYA,,
135,Zamfara,BAKURA,GH BAUKURA,,
136,Zamfara,BAKURA,DAMRI,,
137,Zamfara,BAKURA,DAMBO,,
138,Zamfara,BAKURA,DAKKO,,
139,Zamfara,BAKURA,DANMANAU,,
140,Zamfara,BAKURA,B/TUDU,,
141,Zamfara,BAKURA,D/KAIWA,,
142,Zamfara,BAKURA,GAMJI,,
143,Zamfara,BAKURA,RINI,,
144,Zamfara,BAKURA,YARGEDA,,
145,Zamfara,BAKURA,YARKOFOJI,,
146,Zamfara,BAKURA,MDG BADAMMA,,
147,Zamfara,BAKURA,NASARAWA,,
148,Zamfara,BAKURA,K/KALGO,,
149,Zamfara,BAKURA,RAKUMA,,
150,Zamfara,BAKURA,KABAWA,,
151,Zamfara,BAKURA,TUMBA,,
152,Zamfara,BAKURA,RANE,,
153,Zamfara,BAKURA,MADACI,,
154,Zamfara,BAKURA,NAGARAWA,,
155,Zamfara,BAKURA,WCWC BKA,,
156,Zamfara,BAKURA,D/KADU,,
157,Zamfara,BAKURA,OLPC,,
158,Zamfara,BAKURA,T/FADAMA,,
159,Zamfara,BIRIN MAGAJI,GH B/MAGAJI,,
160,Zamfara,BIRIN MAGAJI,WCWC,,
161,Zamfara,BIRIN MAGAJI,NASARAWA GODEL,,
162,Zamfara,BIRIN MAGAJI,BILLASHE,,
163,Zamfara,BIRIN MAGAJI,SABONBIRNIN DANALI,,
164,Zamfara,BIRIN MAGAJI,CIGAMA,,
165,Zamfara,BIRIN MAGAJI,GIDAN DANJUMA,,
166,Zamfara,BIRIN MAGAJI,KIRIFADA GALADIMA,,
167,Zamfara,BIRIN MAGAJI,GUSAMI,,
168,Zamfara,BIRIN MAGAJI,AMFANI MEDICAL CENTER N/GODAL,,
169,Zamfara,BIRIN MAGAJI,KIRIFADA DANLAMI,,
170,Zamfara,BIRIN MAGAJI,DANWALA,,
171,Zamfara,BIRIN MAGAJI,MODOMAWA,,
172,Zamfara,BIRIN MAGAJI,G/NAMAGANGA,,
173,Zamfara,BIRIN MAGAJI,MAGARE,,
174,Zamfara,BIRIN MAGAJI,SHAMUSHALLE,,
175,Zamfara,BIRIN MAGAJI,GARIN KAKA,,
176,Zamfara,BIRIN MAGAJI,GORA,,
177,Zamfara,BIRIN MAGAJI,SHAGERAWA,,
178,Zamfara,BIRIN MAGAJI,MAILAYI,,
179,Zamfara,BIRIN MAGAJI,KIYAWA,,
180,Zamfara,BIRIN MAGAJI,MAIKURU,,
181,Zamfara,BIRIN MAGAJI,CHALLI,,
182,Zamfara,BIRIN MAGAJI,USU,,
183,Zamfara,BIRIN MAGAJI,KOKIYA,,
184,Zamfara,BIRIN MAGAJI,GIDAN DANDANBO,,
185,Zamfara,BIRIN MAGAJI,JADDAWA,,
186,Zamfara,BIRIN MAGAJI,KANNU,,
187,Zamfara,BIRIN MAGAJI,GIDAN KASO,,
188,Zamfara,BIRIN MAGAJI,TASHAR SHEHU,,
189,Zamfara,BIRIN MAGAJI,DAMFAMI,,
190,Zamfara,BIRIN MAGAJI,SHAHASA N/GODEL,,
191,Zamfara,BIRIN MAGAJI,GARIN NAMA,,
192,Zamfara,BUKKUYUM,GH BUKKUYUM,,
193,Zamfara,BUKKUYUM,NASARAWA,,
194,Zamfara,BUKKUYUM,ADABKA,,
195,Zamfara,BUKKUYUM,GURUSU,,
196,Zamfara,BUKKUYUM,RUWAN JEMA,,
197,Zamfara,BUKKUYUM,ZUGU,,
198,Zamfara,BUKKUYUM,B/ZAUMA,,
199,Zamfara,BUKKUYUM,GWASHI,,
200,Zamfara,BUKKUYUM,OLPC,,
201,Zamfara,BUKKUYUM,MASAMA,,
202,Zamfara,BUKKUYUM,YASHI,,
203,Zamfara,BUKKUYUM,GADAR ZAIMA,,
204,Zamfara,BUKKUYUM,ZARUMMAI,,
205,Zamfara,BUNGUDU,GH BUNGUDU,,
206,Zamfara,BUNGUDU,PHC KWATARKWASHI,,
207,Zamfara,BUNGUDU,PHC NAHUCE,,
208,Zamfara,BUNGUDU,PHC GIDANZALLA,,
209,Zamfara,BUNGUDU,PHC BUNGUDU,,
210,Zamfara,BUNGUDU,PHC DANMARKE,,
211,Zamfara,BUNGUDU,PHC FURFURI,,
212,Zamfara,BUNGUDU,PHC KURARMOTA,,
213,Zamfara,BUNGUDU,KOHI,,
214,Zamfara,BUNGUDU,TAZAME,,
215,Zamfara,BUNGUDU,MDG GULLUBBA,,
216,Zamfara,BUNGUDU,BELA,,
217,Zamfara,BUNGUDU,MDG BURAI,,
218,Zamfara,BUNGUDU,USMANIYA,,
219,Zamfara,BUNGUDU,GODIYA,,
220,Zamfara,BUNGUDU,OLPC KWATARKWASHI,,
221,Zamfara,BUNGUDU,SANKALAWA,,
222,Zamfara,BUNGUDU,DOGON DAJI,,
223,Zamfara,BUNGUDU,KEKU,,
224,Zamfara,BUNGUDU,GADA,,
225,Zamfara,BUNGUDU,TOFA,,
226,Zamfara,BUNGUDU,OLPC BUNGUDU,,
227,Zamfara,BUNGUDU,YARKATSINA,,
228,Zamfara,BUNGUDU,KARAKKAI,,
229,Zamfara,BUNGUDU,RAWAYYA,,
230,Zamfara,BUNGUDU,DASHI,,
231,Zamfara,BUNGUDU,BINGI,,
232,Zamfara,BUNGUDU,BABBAN GEBE,,
233,Zamfara,BUNGUDU,FANTARU,,
234,Zamfara,BUNGUDU,RIBE,,
235,Zamfara,BUNGUDU,SAMAWA,,
236,Zamfara,BUNGUDU,AUKI,,
237,Zamfara,GUMI,GH GUMI,,
238,Zamfara,GUMI,DAKI TAKWAS,,
239,Zamfara,GUMI,GAYARI,,
240,Zamfara,GUMI,KURFA,,
241,Zamfara,GUMI,TUNGAR WAKASO,,
242,Zamfara,GUMI,GIDAN ILLO,,
243,Zamfara,GUMI,NASARAWA KIFI,,
244,Zamfara,GUMI,ADARAWA,,
245,Zamfara,GUMI,BARDOKI,,
246,Zamfara,GUMI,B/TUDU,,
247,Zamfara,GUMI,JABAKA,,
248,Zamfara,GUMI,B/MAGAJI,,
249,Zamfara,GUMI,TAKA TSABA,,
250,Zamfara,GUMI,DANGWAI,,
251,Zamfara,GUMI,GWALLI,,
252,Zamfara,GUMI,BABBAN RAFI,,
253,Zamfara,GUMI,FALALE,,
254,Zamfara,GUMI,IYAKA,,
255,Zamfara,GUMI,KOWA AJAM,,
256,Zamfara,GUMI,LEMA,,
257,Zamfara,GUMI,GABTU,,
258,Zamfara,GUMI,YAR KWANA,,
259,Zamfara,GUMI,FALAM BIRNI,,
260,Zamfara,GUMI,GARKUWA,,
261,Zamfara,GUMI,KOMI NAKA,,
262,Zamfara,GUMI,BUDUN,,
263,Zamfara,GUSAU,FMC,,
264,Zamfara,GUSAU,YARIMAN BAKURA SPLST,,
265,Zamfara,GUSAU,GH MADA,,
266,Zamfara,GUSAU,PHC MADA,,
267,Zamfara,GUSAU,DAULA HOSP,,
268,Zamfara,GUSAU,SHEMORI,,
269,Zamfara,GUSAU,WONAKA,,
270,Zamfara,GUSAU,FEGIN MAHE,,
271,Zamfara,GUSAU,TSUNA,,
272,Zamfara,GUSAU,LILO,,
273,Zamfara,GUSAU,DUDDUNGYAL,,
274,Zamfara,GUSAU,DR MUSTAPHA H0SP,,
275,Zamfara,GUSAU,HILAL SPEACIALIST,,
276,Zamfara,GUSAU,T0TARI CLINIC,,
277,Zamfara,GUSAU,INGWAI CLINIC,,
278,Zamfara,GUSAU,KAMARI,,
279,Zamfara,GUSAU,BAWO,,
280,Zamfara,GUSAU,MANYAR DANBIRI,,
281,Zamfara,GUSAU,SAUKI CLINIC,,
282,Zamfara,GUSAU,RUWAN BORE,,
283,Zamfara,GUSAU,RAFI,,
284,Zamfara,GUSAU,GH GUSAU,,
285,Zamfara,GUSAU,MUFID CLINIC,,
286,Zamfara,GUSAU,KING FAHAD WC,,
287,Zamfara,GUSAU,JANYAU,,
288,Zamfara,GUSAU,TAKAMA,,
289,Zamfara,GUSAU,LIMAN DARA,,
290,Zamfara,GUSAU,PHC SHAGARI,,
291,Zamfara,GUSAU,GH MAGAMI,,
292,Zamfara,GUSAU,DR KARIMA,,
293,Zamfara,GUSAU,P0LICE CLINIC,,
294,Zamfara,GUSAU,PRISON CLINIC,,
295,Zamfara,GUSAU,KWATA,,
296,Zamfara,GUSAU,APEX CLINIC,,
297,Zamfara,GUSAU,BULAN ZARA,,
298,Zamfara,KAURA NAMUDA,GH KAURA,,
299,Zamfara,KAURA NAMUDA,PHC KASUWAR DAJI,,
300,Zamfara,KAURA NAMUDA,GH KASUWAR DAJI,,
301,Zamfara,KAURA NAMUDA,PHC YANKABA,,
302,Zamfara,KAURA NAMUDA,PHC DAN ISAH,,
303,Zamfara,KAURA NAMUDA,PHC BANGA,,
304,Zamfara,KAURA NAMUDA,KAURA NAMODA CLINIC,Kaura Namoda Clinic,Zamfara
305,Zamfara,KAURA NAMUDA,PHC GABAKE,,
306,Zamfara,KAURA NAMUDA,PHC DANKADE,,
307,Zamfara,KAURA NAMUDA,HEGEN CLINIC,,
308,Zamfara,KAURA NAMUDA,MDGs CLINIC,,
309,Zamfara,KAURA NAMUDA,KWCWC,,
310,Zamfara,KAURA NAMUDA,MAGIZAWA CLINIC,,
311,Zamfara,KAURA NAMUDA,SAKAJIKI,,
312,Zamfara,KAURA NAMUDA,KUNGURKI,,
313,Zamfara,KAURA NAMUDA,BARKEJI,,
314,Zamfara,KAURA NAMUDA,TAHIR CLINIC,,
315,Zamfara,KAURA NAMUDA,NIIMA CLINIC,,
316,Zamfara,KAURA NAMUDA,ALBARKA CLINIC,Abarma Clinic,Zamfara
317,Zamfara,KAURA NAMUDA,DAN BILLU CLINIC,,
318,Zamfara,KAURA NAMUDA,TANKWAREN DAJI,,
319,Zamfara,KAURA NAMUDA,P0LY CLINIC,,
320,Zamfara,KAURA NAMUDA,DAYAU,,
321,Zamfara,KAURA NAMUDA,KURYAR MADARO,,
322,Zamfara,MARADUN,GH MARADUN,,
323,Zamfara,MARADUN,FARU,,
324,Zamfara,MARADUN,WCWC,,
325,Zamfara,MARADUN,TOWN DISPENSARY,,
326,Zamfara,MARADUN,MAIJATAU,,
327,Zamfara,MARADUN,GIDAN ADAMU,,
328,Zamfara,MARADUN,MANASA,,
329,Zamfara,MARADUN,MAGAMI,,
330,Zamfara,MARADUN,GIDAN GOGA,,
331,Zamfara,MARADUN,ALJIMMA,,
332,Zamfara,MARADUN,JANBAKO,,
333,Zamfara,MARADUN,KOFAR KYARAWA,,
334,Zamfara,MARADUN,ALUMMA,,
335,Zamfara,MARADUN,KAYA,,
336,Zamfara,MARADUN,GAMAGIWA,,
337,Zamfara,MARADUN,DOSARA,,
338,Zamfara,MARADUN,GORA,,
339,Zamfara,MARADUN,GILLIBA,,
340,Zamfara,MARADUN,BIRNIN KAYA,,
341,Zamfara,MARADUN,TUNGAR MAGAJI,,
342,Zamfara,MARADUN,MAGARA,,
343,Zamfara,MARADUN,TSIBIRI,,
344,Zamfara,MARADUN,DANBAZA,,
345,Zamfara,MARADUN,OLPC,,
346,Zamfara,MARADUN,DAMAGA,,
347,Zamfara,MARU,GH MARU,,
348,Zamfara,MARU,GH DANSADAU,,
349,Zamfara,MARU,PHC RUWAN DORUWA,,
350,Zamfara,MARU,PHC KANOMA,,
351,Zamfara,MARU,PHC MAYANCI,,
352,Zamfara,MARU,PHC DANSADAU,,
353,Zamfara,MARU,PHC YAR TASHA,,
354,Zamfara,MARU,PHC BING,,
355,Zamfara,MARU,PHC KANOMA KYAURU,,
356,Zamfara,MARU,WCWC MARU,,
357,Zamfara,MARU,OLPC MARU,,
358,Zamfara,MARU,ALHERI CLINIC DANGULBI,,
359,Zamfara,MARU,PHC DANGULBI,,
360,Zamfara,MARU,PHC BINDIN,,
361,Zamfara,MARU,PHC MAYANCI TASHA,,
362,Zamfara,MARU,JABAKA DISPENSARY,,
363,Zamfara,MARU,LUGGA DISPENSARY,,
364,Zamfara,MARU,KADAURI DISPENSARY,Kamari Dispensary,Zamfara
365,Zamfara,MARU,GARAGI DISPENSARY,Gana Dispensary,Zamfara
366,Zamfara,MARU,CHEBOJI DISPENSARY,,
367,Zamfara,MARU,KADADDABA DISPENSARY,,
368,Zamfara,MARU,MALAMAWA DISPENSARY,Masama Dispensary,Zamfara
369,Zamfara,MARU,DIBGAWA DISPENSARY,Bawo Dispensary,Zamfara
370,Zamfara,MARU,UNGUWAR GALADIMA DISPENSARY,,
371,Zamfara,SHINKAFI,GH SHINKAFI,,
372,Zamfara,SHINKAFI,PHC BADARAWA,,
373,Zamfara,SHINKAFI,BAJE,,
374,Zamfara,SHINKAFI,BIRNIN YARO,,
375,Zamfara,SHINKAFI,BULA,,
376,Zamfara,SHINKAFI,GALADI,,
377,Zamfara,SHINKAFI,JANGERU,,
378,Zamfara,SHINKAFI,KATURU,,
379,Zamfara,SHINKAFI,KURYA,,
380,Zamfara,SHINKAFI,KWARE,,
381,Zamfara,SHINKAFI,T/KADO,,
382,Zamfara,SHINKAFI,KURSASA,,
383,Zamfara,SHINKAFI,OLPC SHINKAFI,,
384,Zamfara,SHINKAFI,MABERAYA,,
385,Zamfara,SHINKAFI,MALMAWA,,
386,Zamfara,SHINKAFI,TUBALI,,
387,Zamfara,SHINKAFI,SHANAWA,,
388,Zamfara,SHINKAFI,WWC SHINKAFI,,
389,Zamfara,SHINKAFI,ALFARMA CLINIC,Alfarma Clinic,Zamfara
390,Zamfara,SHINKAFI,BAICHE,,
391,Zamfara,SHINKAFI,GANGARA,,
392,Zamfara,SHINKAFI,BAGARE,,
393,Zamfara,TALATA MAFARA,GH T/MAFARA,,
394,Zamfara,TALATA MAFARA,GH KAGARA,,
395,Zamfara,TALATA MAFARA,WCWC,,
396,Zamfara,TALATA MAFARA,POLYTECNIC,,
397,Zamfara,TALATA MAFARA,DARUN NAIM,,
398,Zamfara,TALATA MAFARA,TUNFAFIYA,,
399,Zamfara,TALATA MAFARA,HURA,,
400,Zamfara,TALATA MAFARA,TAKE TSABA,,
401,Zamfara,TALATA MAFARA,MAKERA,,
402,Zamfara,TALATA MAFARA,WARE DAMTSE,,
403,Zamfara,TALATA MAFARA,TUNGAR LADA,,
404,Zamfara,TALATA MAFARA,BAKIN ZAJI,,
405,Zamfara,TALATA MAFARA,MURAI,,
406,Zamfara,TALATA MAFARA,PHC SAUNA,,
407,Zamfara,TALATA MAFARA,KAGARA,,
408,Zamfara,TALATA MAFARA,GARBADU,,
409,Zamfara,TALATA MAFARA,JANGEBE,,
410,Zamfara,TALATA MAFARA,MAIKWANUGGA,,
411,Zamfara,TALATA MAFARA,MIRKIDI,,
412,Zamfara,TALATA MAFARA,TUNGAR SADAU,,
413,Zamfara,TALATA MAFARA,BARIKIN DAJI,,
414,Zamfara,TALATA MAFARA,DANFAKO,,
415,Zamfara,TALATA MAFARA,0LPC,,
416,Zamfara,TALATA MAFARA,SADO,,
417,Zamfara,TALATA MAFARA,TUNGAR MIYA,,
418,Zamfara,TALATA MAFARA,RUWAN B0RE,,
419,Zamfara,TALATA MAFARA,GIDAN RASHI,,
420,Zamfara,TALATA MAFARA,TASHAR LAUWALI,,
421,Zamfara,TALATA MAFARA,MATUSGI,,
422,Zamfara,TALATA MAFARA,PRIS0N,,
423,Zamfara,TSAFE,GH TSAFE,,
424,Zamfara,TSAFE,MAGAZU,,
425,Zamfara,TSAFE,BILBIL,,
426,Zamfara,TSAFE,KUNCIN KALGO,,
427,Zamfara,TSAFE,DANJIBGA,,
428,Zamfara,TSAFE,KETA,,
429,Zamfara,TSAFE,KWAREN GANUWA,,
430,Zamfara,TSAFE,YANDOTO,,
431,Zamfara,TSAFE,CHEDIYA,,
432,Zamfara,TSAFE,YANKUZ0,,
433,Zamfara,TSAFE,YANWARE,,
434,Zamfara,TSAFE,HAYIN ALHAJI,,
435,Zamfara,TSAFE,RAHAMA,,
436,Zamfara,TSAFE,YARHANNE,,
437,Zamfara,TSAFE,0LPC,,
438,Zamfara,TSAFE,S/F BAZA,,
439,Zamfara,TSAFE,GIDAN DAWA,,
440,Zamfara,TSAFE,S/DAN MARKE,,
441,Zamfara,TSAFE,WANZAMAI,,
442,Zamfara,TSAFE,MUNHAYE,,
443,Zamfara,TSAFE,UNGUWAR GYAURO,,
444,Zamfara,TSAFE,LANGA LANGA,,
445,Zamfara,TSAFE,DR FATIMA,,
446,Zamfara,TSAFE,DOGON KAWO,,
447,Zamfara,TSAFE,BABBAN KAUYE,,
448,Zamfara,TSAFE,KUCHERI,,
449,Zamfara,TSAFE,BAKIN MANYA,,
450,Zamfara,TSAFE,MAKERA,,
451,Zamfara,TSAFE,BAWA GANGA,,
452,Zamfara,ZURMI,GH ZURMI,,
453,Zamfara,ZURMI,GH MORIKI,,
454,Zamfara,ZURMI,PHC KWANGWAMI,,
455,Zamfara,ZURMI,PHC DOLE,,
456,Zamfara,ZURMI,PHC BOKO,,
457,Zamfara,ZURMI,PHC DUMAMA,,
458,Zamfara,ZURMI,PHC MAGARYA,,
459,Zamfara,ZURMI,PHC MORIKI,,
460,Zamfara,ZURMI,PHC DAURAN,,
461,Zamfara,ZURMI,PHC DUMFAWA,,
462,Zamfara,ZURMI,PHC KANWA,,
463,Zamfara,ZURMI,PHC BIRNIN TSABA,,
464,Zamfara,ZURMI,PHC ZURMI,,
465,Zamfara,ZURMI,PHC GURBIN BORE,,
466,Zamfara,ZURMI,PHC TUDUN BUGAJE,,
467,Zamfara,ZURMI,PHC JABANDA,,
468,Zamfara,ZURMI,PHC DUTSI,,
469,Zamfara,ZURMI,PHC KUTURU,,
470,Zamfara,ZURMI,BINBANO,,
471,Zamfara,ZURMI,KAYAWA H/F,,
472,Zamfara,ZURMI,OLPC,,
473,Zamfara,ZURMI,GIDAN KAYYA,,
474,Zamfara,ZURMI,FARMILY SP0RT,,
475,Zamfara,ZURMI,TUDUN SANSAMI,,
476,Zamfara,ZURMI,MASHEMA,,
477,Zamfara,ZURMI,MAYASA,,
478,Zamfara,ZURMI,YANBUKI,,
479,State,LGA collation hub,Testing Hub Facility,,
480,Yobe,,Y.S.U.T.H,,
481,Yobe,,S.S.Hospital Dtr,,
482,Yobe,,G.H.Geidam,,
483,Yobe,,F.M.C Nguru,,
484,Yobe,,G.H. Potiskum,,
485,Yobe,,G.H. Gashua,,
486,Yobe,,G.H.Gashua,,
487,Yobe,,G.K.Gashua,,
488,Yobe,,G.S.Gashua,,
489,Zamfara,,G.H. ANKA,,
490,Zamfara,,MAFARA,,
491,Zamfara,,KAURA NAMODA,,
492,Zamfara,,ANKA,,
493,Zamfara,,BUNGUDU,,
494,Zamfara,,GUMMI,,
495,Zamfara,,GUSAU,,
496,Zamfara,,KAURA NAMUDA,,
497,Zamfara,,TALATA MAFARA,,
