id,state,lga,facility_name,corrected_facility_name,validated_state
194,Cross river,,PHC EDIM ETOP,,
195,Cross river,,PHC IKOT EFFANGHA,,
196,Cross river,,PHC NYANGASANG,,
197,Cross river,,PHC IKOT EKPO,,
198,Cross river,,H/C IKOT ENEOBONG,,
199,Cross river,,146 Batallion MRS Eburutu Barracks,,
200,Cross river,,PHC AKIM,,
201,Cross river,,DIAMOND HILL H/C,,
202,Cross river,,13 BRIGADE AKIM,,
203,Cross river,,PHC IKOT ISHIE,,
204,Cross river,,HP IKOT EKPO,,
205,Cross river,,BORO PIT H/C,,
206,Cross river,,Kasuk PHC,,
207,Cross river,,Ikot Ene-Obong PHC,,
208,Cross river,,PHC Abanghasang,,
209,Cross river,,Mobile clinic Calabar Municipality,,
210,Cross river,,Fed.Housing Health Post Calabar Municipality,,
211,Cross river,,CHC Bendeghe Ekiem,,
212,Cross river,,PHC Etomi,,
213,Cross river,,PHC ABIA,,
214,Cross river,,Ajassor H/C,,
215,Cross river,,MPHC Effraya,,
216,Cross river,,PHC Nsofang,,
217,Cross river,,PHC Itaka,,
218,Cross river,,Agbokim Waterfall,,
219,Cross river,,PHC MKPOT,,
220,Cross river,,PHC EKUNG ATAI,,
221,Cross river,,HP MFUM,,
222,Cross river,,HP ETE-EYANG,,
223,Cross river,,PHC ABIJANG,,
224,Cross river,,PHC Ntara 2,,
225,Cross river,,H/C Edor,,
226,Cross river,,Akparabong,,
227,Cross river,,PHC Nkarassi,,
228,Cross river,,PHC Okuni,,
229,Cross river,,Nigerian Prisons Ikom,,
230,Cross river,,PHC EKPOKPA,,
231,Cross river,,Affi Army Barracks,,
232,Cross river,,CHC IKOM,,
233,Cross river,,PHC OKOROBA,,
234,Cross river,,PHC ADIJINKPOR,,
235,Cross river,,PHC EMANGABE,,
236,Cross river,,Alesi Health Post,,
237,Cross river,,"GENERAL HOSPITAL, SANKWALA",,
238,Cross river,,MCH SANKWALA,,
239,Cross river,,PHC Utanga,,
240,Cross river,,MPCH AKORSHI,,
241,Cross river,,PHC SHIKPECHE,,
242,Cross river,,PHC BAYAYAM,,
243,Cross river,,PHC BUSI 3,,
244,Cross river,,PHC AMANA 1,,
245,Cross river,,PHC KETTING,,
246,Cross river,,BELINGA H/C,,
247,Cross river,,BAYAGA H/C,,
248,Cross river,,HC LISHIKWEL,,
249,Cross river,,PHC BISHIRI,,
250,Cross river,,PHC BEBI,,
251,Cross river,,PHC Akwalaka,,
252,Cross river,,PHC Ebagang,,
253,Cross river,,PHC Abebene,,
254,Cross river,,PHC OCHON,,
255,Cross river,,PHC Ofumbongha,,
256,Cross river,,PHC IYAMITET,,
257,Cross river,,"GENERAL HOSPITAL, OBUBRA",,
258,Cross river,,MCH OBUBRA,,
259,Cross river,,"POLY CLINIC, OFAT",,
260,Cross river,,PHC IYAMOYONG,,
261,Cross river,,PHC OFODUA,,
262,Cross river,,H/C ONYEN-OKPON,,
263,Cross river,,H/C ONYADAMA,,
264,Cross river,,H/C AHAHA,,
265,Cross river,,NKUM IYALA H/C,,
266,Cross river,,PHC OGURUDE,,
267,Cross river,,HEALTH POST OBUBRA VILLAGE,,
268,Cross river,,PHC Edondon,,
269,Cross river,,Oderega H/P,,
270,Cross river,,PHC UTUGWANG,,
271,Cross river,,"General Hospital, Obudu",,
272,Cross river,,CHC IKOT EFFIONG OTOP (UCTH ANNEX),,
273,Cross river,,"GENERAL HOSPITAL, UKEM",,
274,Cross river,,PHC ATAN ONOYOM,,
275,Cross river,,PHC ODUKPANI,,
276,Cross river,,PHC OKOYONG,,
277,Cross river,,PHC OBOM ITIAT,,
278,Cross river,,PHC CREEK TOWN,,
279,Cross river,,PHC IKONETO,,
280,Cross river,,PHC ATAN EKI,,
281,Cross river,,PHC IKOT EFFIOK EKPENYONG,,
282,Cross river,,PHC ADIABO OKURIKANG,,
283,Cross river,,PHC AKIMAKIM,,
284,Cross river,,H/C OKURIKANG OKOYONG,,
285,Cross river,,H/P EFUT IBONDA,,
286,Cross river,,H/P ADIABO OTU IBUOT,,
287,Cross river,,PHC USUNG ESUK,,
288,Cross river,,H/C OBIO ESERIE,,
289,Cross river,,H/C NDONWONG,,
290,Cross river,,H/P IDIM NDOM,,
291,Cross river,,H/C URUA ETAK UYO,,
292,Cross river,,PHC AKPAP,,
293,Cross river,,PHC ATAN MBAKARA,,
294,Cross river,,PHC UKWA,,
295,Cross river,,PHC Oniwamankong,,
296,Cross river,,HC Ikot Obong Eno Creek Town,,
297,Cross river,,Health Center Idere,,
298,Cross river,,Health Center Ito,,
299,Cross river,,H/C Asang Eniong,,
300,Cross river,,"ST BENEDICT'S, MONAIYA",,
301,Cross river,,PHC UKPE,,
302,Cross river,,PHC IBIL,,
303,Cross river,,GENERAL HOSPITAL OGOJA,,
304,Cross river,,PHC NWANG,,
305,Cross river,,PHC BANSARA,,
306,Cross river,,ARMY BARRACK CLINIC,,
307,Cross river,,NIGERIA PRISON OGOJA TBL UNIT,,
308,Cross river,,PHC EGBE MBUBE,,
309,Cross river,,PHC OGBOJA,,
310,Cross river,,PHC ARAGBAM,,
311,Cross river,,PHC EDUM MBUBE,,
312,Cross river,,HC ODAJTE,,
313,Cross river,,MCH OGOJA,,
314,Cross river,,PHC EKUMTAK,,
315,Cross river,,HP MBOK,,
316,Cross river,,HC EGBUNG,,
317,Cross river,,PHC IDUM,,
318,Cross river,,PHC ODAJE MBUBE,,
319,Cross river,,Ndok HC Urban 2 Ogoja,,
320,Cross river,,Model PHC Igodor Ogoja,,
321,Cross river,,Health Center Benkpe,,
322,Cross river,,PHC WONYE,,
323,Cross river,,CHC OKPOMA,,
324,Cross river,,General Hospital Ugep,,
325,Cross river,,PHC Ekori,,
326,Cross river,,PHC Nko,,
327,Cross river,,PHC Mkpani,,
328,Cross river,,PHC Ugep,,
329,Cross river,,PHC Agoi Ibami,,
330,Cross river,,PHC Ntan,,
331,Cross river,,PHC YENON,,
332,Cross river,,PHC IDOMI,,
333,Cross river,,PHC AJERE,,
334,Cross river,,PHC AGOI EKPO,,
335,Cross river,,PHC NTANKPO,,
336,Cross river,,PHC IJIMAN,,
337,Cross river,,PHC INYIMA,,
338,Cross river,,PHC OKAMASI,,
339,Cross river,,PHC EKPENTI,,
340,Cross river,,PHC USENE,,
341,Cross river,,PHC KETABEBE,,
342,Cross river,,PHC LEBOKOM,,
343,Cross river,,PHC LEBANG,,
344,Cross river,,H/P EKORI BEACH,,
345,Cross river,,H/P ELIGE MKPA,,
346,Cross river,,H/P AJERE BEACH,,
347,Cross river,,PHC Lebolkom,,
348,Cross river,,PHC Mkpa,,
349,Cross river,,H/P EKORI,,
350,Delta,ANIOCHA NORTH,"General Hospital, Issele-Uku",General Hospital Issele Uku,Delta
351,Delta,ANIOCHA NORTH,"Ajulu Clinic, Issele-Uku",,
352,Delta,ANIOCHA NORTH,"St. Theresa Catholic Hospital, Issele-Uku",,
353,Delta,ANIOCHA NORTH,PHC Issele-Uku,,
354,Delta,ANIOCHA NORTH,Goodnews Hospital,DSC Hospital,Delta
355,Delta,ANIOCHA NORTH,PHC Aniofu,,
356,Delta,ANIOCHA NORTH,PHC Issele-Azagba,,
357,Delta,ANIOCHA NORTH,PHC Obomkpa,,
358,Delta,ANIOCHA NORTH,PHC Issele-Mkpitime,,
359,Delta,ANIOCHA NORTH,PHC Ogodor,,
360,Delta,ANIOCHA NORTH,Glory To God Clinic,Glory To God Medical Clinic,Delta
361,Delta,ANIOCHA NORTH,PHC Onicha-Uku,,
362,Delta,ANIOCHA NORTH,Government Hospital Onicha-Uku,Obiaruku Government Hospital,Delta
363,Delta,ANIOCHA NORTH,PHC Onicha-Olona,,
364,Delta,ANIOCHA NORTH,PHC Ezi,,
365,Delta,ANIOCHA NORTH,"General Hospital, Onicha-Olona",Onicha Olona Government Hospital.,Delta
366,Delta,ANIOCHA NORTH,PHC Centre Obior,,
367,Delta,ANIOCHA NORTH,PHC Ukwu-Nzu,,
368,Delta,ANIOCHA NORTH,PHC Centre Ubulubu,,
369,Delta,ANIOCHA NORTH,PHC Idumu-Ogo,,
370,Delta,ANIOCHA NORTH,PHC Idumuje-Ugboko,,
371,Delta,ANIOCHA NORTH,PHC Ugbodu,,
372,Delta,ANIOCHA NORTH,PHC Centre Idumuje Unor,,
373,Delta,ANIOCHA SOUTH,"Gen Hosp, Ogwashi-uku",General Hospital Ogwashi Uku,Delta
374,Delta,ANIOCHA SOUTH,Ogwashi-uku Prisons,,
375,Delta,ANIOCHA SOUTH,PHC Ollor,,
376,Delta,ANIOCHA SOUTH,PHC Ogwashi-Uku,,
377,Delta,ANIOCHA SOUTH,"Mother of Mercy Hospital, Ogwashi-Uku",Mother Of Mercy Hospital,Delta
378,Delta,ANIOCHA SOUTH,PHC Ubulu-uku,,
379,Delta,ANIOCHA SOUTH,Government Hospital Ubulu-Uku,Obiaruku Government Hospital,Delta
380,Delta,ANIOCHA SOUTH,Anglican Maternity Ubulu-Uku,Anglican Maternity Home,Delta
381,Delta,ANIOCHA SOUTH,"Banos Clinic, Ubulu-Uku",,
382,Delta,ANIOCHA SOUTH,PHC Ubulu-uno,,
383,Delta,ANIOCHA SOUTH,PHC Ejemen-Aniogor,,
384,Delta,ANIOCHA SOUTH,PHC Ubulu-Okiti,,
385,Delta,ANIOCHA SOUTH,"General Hospital, Isheagu",General Hospital Issele Uku,Delta
386,Delta,BOMADI,PHC Bomadi,,
387,Delta,BOMADI,"Our Saviour Hospital, Bomadi Overside",Our Saviour's Hospital,Delta
388,Delta,BOMADI,Amazing Grace Clinic,Amazing Grace God Clinic,Delta
389,Delta,BOMADI,General Hospital Bomadi,Bomadi General Hospital  Bomadi,Delta
390,Delta,BOMADI,PHC Ogriagbene,,
391,Delta,BOMADI,PHC Ogo-Eze,,
392,Delta,BOMADI,"PHC, Kpakiama",,
393,Delta,BOMADI,"Our Lady's Of The Water PHC, Bomadi",,
394,Delta,BOMADI,Ekametagbene PHC,,
395,Delta,BOMADI,PHC Okoloba,,
396,Delta,BOMADI,"PHC Centre, Ogodobiri",,
397,Delta,BOMADI,PHC Centre Akugbene,,
398,Delta,BOMADI,PHC Centre Esanma,,
399,Delta,BOMADI,PHC Ogbeinama,,
400,Delta,BURUTU,"PHC Centre, Burutu",,
401,Delta,BURUTU,General Hospital Burutu,Burutu Government Hospital,Delta
402,Delta,BURUTU,"PHC Centre, Ojobo",,
403,Delta,BURUTU,Government Hospital Ojobo,Ojobo Government Hospital,Delta
404,Delta,BURUTU,"PHC Centre, Ayakoromo",Ayakoromo Primary Health Center,Delta
405,Delta,BURUTU,"PHC Centre, Torugbene",,
406,Delta,BURUTU,"Island Clinic & Maternity Forcados Terminal, Ogulagha",,
407,Delta,BURUTU,Cottage Hospital Ogulagha,Ogulagba Cottage Hospital,Delta
408,Delta,BURUTU,Government Hospital Forcados,Forcados Government Hospital,Delta
409,Delta,BURUTU,"PHC Centre, Kiagbodo",,
410,Delta,BURUTU,Government Hospital Kiagbodo,Kiagbodo Government Hospital,Delta
411,Delta,BURUTU,"PHC Centre, Okpokunou",,
412,Delta,BURUTU,PHC Okrika,,
413,Delta,BURUTU,PHC Egodor,,
414,Delta,BURUTU,PHC Odimodi,,
415,Delta,BURUTU,PHC Tamigbe,,
416,Delta,BURUTU,PHC Ogbogbagbene,,
417,Delta,BURUTU,PHC Obotebe,,
418,Delta,BURUTU,PHC Sokebolor,,
419,Delta,BURUTU,PHC GBEKEBOR,,
420,Delta,BURUTU,PHC Enekorogha,,
421,Delta,BURUTU,"NEW FOUNDATION CLINIC, ENEKOROGHA","New Foundation Christian Medical Charity, Enekorogha",Delta
422,Delta,BURUTU,PHC TUOMO,,
423,Delta,BURUTU,PHC OBORO,,
424,Delta,ETHIOPE EAST,"TBL Referral Centre, Eku",,
425,Delta,ETHIOPE EAST,"St. Francis Hosp, Okpara-Inland",,
426,Delta,ETHIOPE EAST,"PHC Centre, Okpara-Inland",Okpara-Inland Primary Health Centre,Delta
427,Delta,ETHIOPE EAST,Alpars Hosp and Maternity,Alpars Hospital And Maternity,Delta
428,Delta,ETHIOPE EAST,"PHC, Okpara Waterside",,
429,Delta,ETHIOPE EAST,PHC Urhuovie,,
430,Delta,ETHIOPE EAST,PHC Centre Oria Abraka,Oria-Abraka Primary Health Centre,Delta
431,Delta,ETHIOPE EAST,"DELSU Health Centre, Abraka",Abraka Po Primary Health Centre,Delta
432,Delta,ETHIOPE EAST,Government Hospital Abraka,Government Hospital Abraka,Delta
433,Delta,ETHIOPE EAST,PHC Abraka P. O.,,
434,Delta,ETHIOPE EAST,"Cottage Hospital, Erhoike",Erhoike Cottage Hospital,Delta
435,Delta,ETHIOPE EAST,PHC Erhoike,,
436,Delta,ETHIOPE EAST,"PHC Centre, Kokori",,
437,Delta,ETHIOPE EAST,Divine Peace Clinic and Maternity Kokori,Divine Peace Clinic And Maternity,Delta
438,Delta,ETHIOPE EAST,"PHC Centre, Samagidi",,
439,Delta,ETHIOPE EAST,PHC Centre Egbo,,
440,Delta,ETHIOPE EAST,Government Hospital Isiokolo,Ojobo Government Hospital,Delta
441,Delta,ETHIOPE EAST,PHC Orhoakpor,,
442,Delta,ETHIOPE EAST,PHC Isiokolo,,
443,Delta,ETHIOPE EAST,PHC Centre Okurekpo 2,Okurekpo 2 Primary Health Centre,Delta
444,Delta,ETHIOPE EAST,Government Baptist Hospital Eku,Burutu Government Hospital,Delta
445,Delta,ETHIOPE EAST,PHC Orhono-Eku,,
446,Delta,ETHIOPE EAST,PHC Ovu,,
447,Delta,ETHIOPE EAST,PHC Igun,,
448,Delta,ETHIOPE EAST,PHC Urhuokpe,,
449,Delta,ETHIOPE EAST,PHC Okuredafe,,
450,Delta,ETHIOPE EAST,PHC Oviorie,,
451,Delta,ETHIOPE EAST,PHC Orhowo,,
452,Delta,ETHIOPE EAST,Acumen Hospital,DSC Hospital,Delta
453,Delta,ETHIOPE WEST,"PHC Centre, Ogharefe",,
454,Delta,ETHIOPE WEST,PHC Oghareki,,
455,Delta,ETHIOPE WEST,Model PHC Oghareki,,
456,Delta,ETHIOPE WEST,"Gen Hosp, Oghara",General Hospital Oghara,Delta
457,Delta,ETHIOPE WEST,"LGA Secretariat PHC DOTS Centre, Oghara",,
458,Delta,ETHIOPE WEST,"Our Lady's Catholic Hospital, Oghara",St Mary's Catholic Hospital,Delta
459,Delta,ETHIOPE WEST,"Naval Medical Centre, Oghara",Naval Medical Centre Oghara,Delta
460,Delta,ETHIOPE WEST,Catholic Hospital Oghareki,Catholic Hospital,Delta
461,Delta,ETHIOPE WEST,PHC Ajagbodudu (Oghara),,
462,Delta,ETHIOPE WEST,Avilar Clinic Oghara,,
463,Delta,ETHIOPE WEST,Maranatha Clinic and Maternity,Faith Clinic And Maternity,Delta
464,Delta,ETHIOPE WEST,PHC Jesse,,
465,Delta,ETHIOPE WEST,PHC Ejenesan,,
466,Delta,ETHIOPE WEST,Government Hospital Ugbevwe,Uzere Government Hospital,Delta
467,Delta,ETHIOPE WEST,Government Hospital Mosogar,Ozoro Governmentl Hospital,Delta
468,Delta,ETHIOPE WEST,PHC Mosogar,,
469,Delta,ETHIOPE WEST,"PHC Centre, Ugbokpa",,
470,Delta,ETHIOPE WEST,PHC Orhokpokpor,,
471,Delta,ETHIOPE WEST,"PHC Centre, Ugbenu (Ejemuonyavwe PHC)",,
472,Delta,ETHIOPE WEST,"DELSUTH, Oghara",,
473,Delta,ETHIOPE WEST,"PHC Centre, Otefe",,
474,Delta,ETHIOPE WEST,Pamol Clinic,Pearl Clinic,Delta
475,Delta,ETHIOPE WEST,Vicky Clinic,Victory Clinic,Delta
476,Delta,ETHIOPE WEST,Health Is Wealth Clinic Oghara,,
477,Delta,ETHIOPE WEST,"PHC Centre, Ijomi",,
478,Delta,ETHIOPE WEST,"PHC Centre, Ugbomoya",,
479,Delta,ETHIOPE WEST,PHC Boboruku,,
480,Delta,ETHIOPE WEST,PHC Onyobru,,
481,Delta,ETHIOPE WEST,PHC Ekroda,,
482,Delta,ETHIOPE WEST,Model PHC Irhodo,,
483,Delta,ETHIOPE WEST,PHC Centre Ovade,,
484,Delta,IKA NORTH EAST,PHC Owa-Oyibu,,
485,Delta,IKA NORTH EAST,PHC Owanta,,
486,Delta,IKA NORTH EAST,Geneneral Hospital Owa-Oyibu,Owa-Oyibu General Hospital,Delta
487,Delta,IKA NORTH EAST,"General Hospital, Umunede",Umutu  General Hospital,Delta
488,Delta,IKA NORTH EAST,PHC Akumazi,,
489,Delta,IKA NORTH EAST,PHC Igbodo,,
490,Delta,IKA NORTH EAST,PHC Owerre-Olubor,,
491,Delta,IKA NORTH EAST,PHC Umunede,,
492,Delta,IKA NORTH EAST,PHC Ute-Erumu,,
493,Delta,IKA NORTH EAST,St Elizabeth Catholic Maternity Umunede,St. Elizabeth Clinic And Maternity,Delta
494,Delta,IKA NORTH EAST,PHc Owa-Alero,,
495,Delta,IKA NORTH EAST,"General Hospital, Owa-Alero",Owa-Alero Government Hospital,Delta
496,Delta,IKA NORTH EAST,"St. John's Catholic Hospital, Boji-Boji Owa",St John Catholic Hospital,Delta
497,Delta,IKA NORTH EAST,All Saints Hospital,Galway Skane Hospital,Delta
498,Delta,IKA NORTH EAST,Cilia Nursing and Maternity Home,Bik Nursing And Maternity Home,Delta
499,Delta,IKA NORTH EAST,Blessed Nursing and Maternity Home,Blessed Nursing and Maternity,Delta
500,Delta,IKA NORTH EAST,Victory Nursing and Maternity Home,Raco Nursing And Maternity Home,Delta
501,Delta,IKA NORTH EAST,Virtue Nursing and Maternity Home,Real Nursing And Maternity Home,Delta
502,Delta,IKA NORTH EAST,Nkakam Nursing and Maternity Home,Joy Nursing and Maternity Home,Delta
503,Delta,IKA NORTH EAST,Sam-Seri Nursing and Maternity Home,Real Nursing And Maternity Home,Delta
504,Delta,IKA NORTH EAST,Anioma Hospital Boji Boji Owa,,
505,Delta,IKA NORTH EAST,God's Grace Nursing Home,Gods Grace Nursing And Maternity Home,Delta
506,Delta,IKA NORTH EAST,Concept Clinic,Concept Clinic,Delta
507,Delta,IKA NORTH EAST,PHC Centre Boji boji Owa,,
508,Delta,IKA NORTH EAST,PHC Centre Ute-Okpu,,
509,Delta,IKA NORTH EAST,PHC Centre Otolokpo,,
510,Delta,IKA NORTH EAST,PHC Centre Ekwuoma,Ikwuoma Health Centre,Delta
511,Delta,IKA NORTH EAST,PHC Centre Mbiri,,
512,Delta,IKA NORTH EAST,PHC Centre Ute-Ogbeje,,
513,Delta,IKA NORTH EAST,PHC Centre Idumu-Esa,,
514,Delta,IKA NORTH EAST,PHC Centre Owa-Alizomor,Owa-Alizomor Primary Health Centre,Delta
515,Delta,IKA SOUTH,"ART DOTS Clinic, Central Hospital, Agbor",Central Hospital Agbor,Delta
516,Delta,IKA SOUTH,"DOTS Clinic, School of Nursing Agbor",,
517,Delta,IKA SOUTH,"Nigeria Prisons, Agbor",,
518,Delta,IKA SOUTH,PHC Emuhu,,
519,Delta,IKA SOUTH,Police Clinic Agbor,Police Clinic,Delta
520,Delta,IKA SOUTH,Goodwill Clinic Agbor,God'S Will Clinic,Delta
521,Delta,IKA SOUTH,PHC Udomi Azuowa,,
522,Delta,IKA SOUTH,PHC Obiayinma,,
523,Delta,IKA SOUTH,Joy Maternity Home,St Jude Maternity Home,Delta
524,Delta,IKA SOUTH,"Alice Smooth Memorial Clinic, Agbor",,
525,Delta,IKA SOUTH,St Anthony Hospital,St. Andrew Hospital,Delta
